|COD_COL|COLE_INST_NOMBRE|COLE_DEPTO_COLEGIO|COLE_CALENDARIO_COLEGIO|COLE_GENEROPOBLACION|EVALUADOS_ULTIMOS_3|COLE_NATURALEZA|INDICE_MATEMATICAS|INDICE_C_NATURALES|INDICE_SOCIALES_CIUDADANAS|INDICE_LECTURA_CRITICA|INDICE_INGLES|INDICE_TOTAL|COLE_CATEGORIA|NOMBRE_DEPARTAMENTO|NOMBRE_MUNICIPIO|ZONA|LATITUD|LONGITUD|MODE_ESTRATOVIVIENDA|IND_EST_TRAB|MODE_EDU_MADRE|MODE_EDU_PADRE|IND_BILINGUE|CARACTER_IE|INDICE_AJUST|Cluster
526|105001015172|INST EDUC EDUARDO SANTOS|ANTIOQUIA|A|MI|208|OFICIAL|0.6439|0.6685|0.6549|0.7179|0.6657|0.6709|B|ANTIOQUIA|MEDELLIN|Urbano|6.25840753700004|-75.6289393019999|Estrato 1|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|TECNICO/ACADEMICO|0.5430504591635015|0
527|205890000003|I. E. R. VILLANUEVA|ANTIOQUIA|A|MI|52|OFICIAL|0.5846|0.5996|0.6145|0.6597|0.5656|0.6108|D|ANTIOQUIA|YOLOMBO|Rural|6.620422893|-75.15183987|Estrato 1|0|Primaria incompleta|Primaria incompleta|N|ACADEMICO|0.18587021375667204|0
528|205837002916|I.E. EL TRES|ANTIOQUIA|A|MI|123|OFICIAL|0.5936|0.6177|0.5925|0.6492|0.5849|0.6111|D|ANTIOQUIA|TURBO|Rural|8.067793315|-76.66007898|Estrato 1|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|TECNICO/ACADEMICO|0.36736478606864126|0
529|205045000576|I.E.R. PEDRONEL DURANGO|ANTIOQUIA|A|MI|114|OFICIAL|0.6328|0.626|0.6243|0.6691|0.6256|0.6371|C|ANTIOQUIA|APARTADO|Rural|7.828730999999999|-76.648901|Estrato 1|0|Secundaria (Bachillerato) completa|Primaria completa|N|ACADEMICO|0.3547595008053106|0
530|105079000406|I. E. PRESBITERO LUIS EDUARDO PEREZ MOLINA|ANTIOQUIA|A|MI|226|OFICIAL|0.7204|0.7235|0.7276|0.7645|0.6943|0.7309|A|ANTIOQUIA|BARBOSA|Urbano|6.435034227|-75.32927613|Estrato 2|0|Secundaria (Bachillerato) completa|Primaria incompleta|N|TECNICO|0.5955462140160217|3
531|105088000362|IE CINCUENTENARIO DE FABRICATO|ANTIOQUIA|A|MI|121|OFICIAL|0.6784|0.6816|0.6922|0.726|0.7115|0.6959|B|ANTIOQUIA|BELLO|Urbano|6.3420148439999995|-75.563126|Estrato 2|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.38697624039133477|5
532|205679000501|I. E. VERSALLES|ANTIOQUIA|A|MI|67|OFICIAL|0.6952|0.6843|0.6986|0.7267|0.6426|0.6967|B|ANTIOQUIA|SANTA BARBARA|Rural|5.961777852999999|-75.58675079999999|Estrato 2|0|Secundaria (Bachillerato) completa|Primaria completa|N|ACADEMICO|0.2452500126620467|5
533|105088000389|IE SANTA CATALINA|ANTIOQUIA|A|MI|189|OFICIAL|0.7238|0.728|0.7336|0.7706|0.7131|0.737|A|ANTIOQUIA|BELLO|Urbano|6.339242400000001|-75.55586324|Estrato 3|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|ACADEMICO|0.5374190546305422|2
534|105490000018|I. E. EDUARDO ESPITIA ROMERO|ANTIOQUIA|A|MI|177|OFICIAL|0.6827|0.6599|0.6622|0.7070000000000001|0.654|0.6761|B|ANTIOQUIA|NECOCLI|Urbano|8.429718493|-76.78334746|Estrato 1|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|N|TECNICO/ACADEMICO|0.4935306047379743|0
535|105088000427|IE SAGRADO CORAZON|ANTIOQUIA|A|MI|166|OFICIAL|0.7286|0.7256|0.7258|0.7569|0.7431|0.7349|A|ANTIOQUIA|BELLO|Urbano|6.3334118216999995|-75.55681613|Estrato 3|0|Secundaria (Bachillerato) completa|Secundaria (Bachillerato) completa|None|ACADEMICO|0.49417325575924864|2
