Cod_Col;Nombre;Latitud;Longitud;Departamento;Municipio;Sector;Estrato;Naturaleza;Calendario;Genero;Categoria;Total;Matematica;Ciencias_Naturales;Ciencias_Sociales;Lectura_critica;Ingles
105425000000;I. E. FILIBERTO RESTREPO SIERRA;6.55;-74.783056;ANTIOQUIA;MACEO;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.6754;0.6606;0.682;0.6642;0.6973;0.6681
105440000000;I. E. ROMAN GOMEZ;6.175566823;-75.34313403;ANTIOQUIA;MARINILLA;Urbano;Estrato 3;OFICIAL;A;MIXTO;B;0.7047;0.7075;0.6959;0.6857;0.7293;0.7056
105440000000;I. E. SAN JOSE;6.171807124;-75.33293943;ANTIOQUIA;MARINILLA;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.7103;0.7248;0.7026;0.695;0.7323;0.6697
105440000000;I. E. NORMAL SUPERIOR RAFAEL MARIA GIRALDO;6.174346775;-75.34148373;ANTIOQUIA;MARINILLA;Urbano;Estrato 3;OFICIAL;A;MIXTO;A;0.7398;0.7338;0.7307;0.7288;0.7667;0.7375
105440000000;I. E. R. TECNICO DE MARINILLA;6.174167;-75.322778;ANTIOQUIA;MARINILLA;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.7149;0.7085;0.723;0.6945;0.7325;0.7174
105440000000;I. E. TECNICO INDUSTRIAL SIMONA DUQUE;6.173309494;-75.33695273;ANTIOQUIA;MARINILLA;Urbano;Estrato 3;OFICIAL;A;MIXTO;A;0.7491;0.7613;0.7519;0.7277;0.7616;0.7314
105467000000;I. E. MARIANO J. VILLEGAS;5.944137328;-75.52219712;ANTIOQUIA;MONTEBELLO;Urbano;Estrato 1;OFICIAL;A;MIXTO;B;0.7135;0.7119;0.7109;0.7099;0.736;0.6693
105475000000;I. E. MURINDO;6.977085741;-76.81703599;ANTIOQUIA;MURIND”;Urbano;Estrato 1;OFICIAL;A;MIXTO;D;0.5694;0.5507;0.5721;0.5522;0.6047;0.5626
105480000000;I. E. MUTATA;7.242369081;-76.43687536;ANTIOQUIA;MUTAT¡;Urbano;Estrato 1;OFICIAL;A;MIXTO;C;0.6575;0.6509;0.6442;0.6587;0.6905;0.6144
105483000000;I. E. INMACULADA CONCEPCION;5.610833;-75.174722;ANTIOQUIA;NARI—O;Urbano;Estrato 2;OFICIAL;A;MIXTO;D;0.613;0.5998;0.6295;0.5936;0.6447;0.5669
105490000000;I. E. EDUARDO ESPITIA ROMERO;8.429718493;-76.78334746;ANTIOQUIA;NECOCLÕ;Urbano;Estrato 1;OFICIAL;A;MIXTO;B;0.6761;0.6827;0.6599;0.6622;0.707;0.654
105490000000;I. E. ANTONIO ROLDAN BETANCUR;8.426130956;-76.78415725;ANTIOQUIA;NECOCLÕ;Urbano;Estrato 1;OFICIAL;A;MIXTO;C;0.6532;0.6377;0.6395;0.6546;0.6868;0.6356
105495000000;I. E. NECHI;8.092637614;-74.77339635;ANTIOQUIA;NECHÕ;Urbano;Estrato 1;OFICIAL;A;MIXTO;D;0.6191;0.5901;0.6234;0.6141;0.6595;0.5875
105501000000;I. E.  OLAYA;6.627114907;-75.81239527;ANTIOQUIA;OLAYA;Urbano;Estrato 2;OFICIAL;A;MIXTO;D;0.6035;0.6013;0.5817;0.5905;0.6508;0.5724
105541000000;I. E.  LEON XIII;6.220233371;-75.24462987;ANTIOQUIA;PE—OL;Urbano;Estrato 2;OFICIAL;A;MIXTO;A;0.7281;0.7448;0.7175;0.7189;0.738;0.7079
105543000000;I. E. PRESBITERO RODRIGO LOPERA GIL;7.021026963;-75.9097783;ANTIOQUIA;PEQUE;Urbano;Estrato 1;OFICIAL;A;MIXTO;B;0.6707;0.6577;0.655;0.6759;0.7033;0.6433
105576000000;I. E. EL SALVADOR;5.790881386;-75.83681614;ANTIOQUIA;PUEBLORRICO;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.7147;0.709;0.7166;0.7035;0.7343;0.7004
105579000000;I. E. BOMBONA;6.483611;-74.408333;ANTIOQUIA;PUERTO BERRÕO;Urbano;Estrato 1;OFICIAL;A;MIXTO;D;0.5671;0.5531;0.5684;0.5402;0.6054;0.5712
105579000000;I. E. ALFONSO LOPEZ PUMAREJO;6.48850077;-74.40308513;ANTIOQUIA;PUERTO BERRÕO;Urbano;Estrato 2;OFICIAL;A;MIXTO;C;0.6407;0.6376;0.6277;0.627;0.6789;0.6159
105579000000;I. E. AMERICA;6.483611;-74.408333;ANTIOQUIA;PUERTO BERRÕO;Urbano;Estrato 1;OFICIAL;A;MIXTO;D;0.6157;0.6063;0.5976;0.6029;0.6657;0.5866
105579000000;I. E. ESCUELA NORMAL SUPERIOR DEL MAGDALENA MEDIO;6.492430082;-74.4075701;ANTIOQUIA;PUERTO BERRÕO;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.6823;0.6656;0.6665;0.6745;0.7195;0.6911
105591000000;I. E. PABLO VI;5.872764346;-74.64132954;ANTIOQUIA;PUERTO TRIUNFO;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.6898;0.681;0.6928;0.6789;0.7185;0.6534
105607000000;I. E. IGNACIO BOTERO VALLEJO;6.062321471;-75.50201282;ANTIOQUIA;RETIRO;Urbano;Estrato 3;OFICIAL;A;MIXTO;B;0.7068;0.7119;0.7177;0.6736;0.7217;0.7141
105615000000;I. E. JOSE MARIA CORDOBA;6.1426482;-75.37198017;ANTIOQUIA;RIONEGRO;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.7121;0.7136;0.7134;0.6934;0.7297;0.7066
105615000000;I. E. ESCUELA NORMAL SUPERIOR DE MARIA;6.143536751;-75.37257954;ANTIOQUIA;RIONEGRO;Urbano;Estrato 2;OFICIAL;A;MIXTO;D;0.5551;0.5229;0.5524;0.544;0.6003;0.5571
105615000000;I. E. JOSEFINA MU—OZ GONZALEZ;6.155217604;-75.36948379;ANTIOQUIA;RIONEGRO;Urbano;Estrato 2;OFICIAL;A;MIXTO;A;0.7497;0.7492;0.7406;0.7364;0.7694;0.76
105615000000;I. E. TECNICO INDUSTRIAL SANTIAGO DE ARMA;6.144174089;-75.3735491;ANTIOQUIA;RIONEGRO;Urbano;Estrato 3;OFICIAL;A;MIXTO;A+;0.8107;0.8437;0.8104;0.7867;0.8045;0.8026
105615000000;I. E. CONCEJO MUNICIPAL EL PORVENIR;6.146747988;-75.38754601;ANTIOQUIA;RIONEGRO;Urbano;Estrato 3;OFICIAL;A;MIXTO;B;0.7122;0.704;0.7023;0.6989;0.7359;0.7348
105628000000;I. E. SAN JOSE;6.847185048;-75.81681812;ANTIOQUIA;SABANALARGA;Urbano;Estrato 2;OFICIAL;A;MIXTO;C;0.6448;0.6377;0.6442;0.6465;0.6556;0.631
105631000000;I. E. ADELAIDA CORREA ESTRADA;6.151993542;-75.61299831;ANTIOQUIA;SABANETA;Urbano;Estrato 3;OFICIAL;A;MIXTO;A;0.7638;0.7577;0.7607;0.7515;0.7798;0.7803
105631000000;I. E. RAFAEL J. MEJIA;6.148314773;-75.61866772;ANTIOQUIA;SABANETA;Urbano;Estrato 3;OFICIAL;A;MIXTO;A;0.7368;0.7225;0.7296;0.7388;0.7603;0.7248
105631000000;I. E. JOSE FELIX DE RESTREPO VELEZ;6.149780926;-75.62065182;ANTIOQUIA;SABANETA;Urbano;Estrato 3;OFICIAL;A;MIXTO;A;0.7482;0.7473;0.7491;0.7392;0.7656;0.7228
105631000000;I. E.  MARIA MEDIADORA;6.160328811;-75.60316099;ANTIOQUIA;SABANETA;Urbano;Estrato 3;OFICIAL;A;MIXTO;A;0.7519;0.7509;0.7562;0.7358;0.7635;0.7558
105631000000;I. E. CONCEJO DE SABANETA JOSE MARIA CEBALLOS BOTERO;6.153229228;-75.6066666;ANTIOQUIA;SABANETA;Urbano;Estrato 2;OFICIAL;A;MIXTO;A;0.748;0.7385;0.7388;0.7516;0.7615;0.7525
105642000000;I. E.  JULIO RESTREPO;5.965785563;-75.98174393;ANTIOQUIA;SALGAR;Urbano;Estrato 2;OFICIAL;A;MIXTO;C;0.6665;0.6541;0.6691;0.6579;0.7013;0.6178
105649000000;I. E. JOAQUIN CARDENAS GOMEZ;6.189375101;-74.98784414;ANTIOQUIA;SAN CARLOS;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.7017;0.7001;0.6923;0.6872;0.7353;0.6774
105656000000;I. E.  ESCUELA NORMAL SUPERIOR GENOVEVA DIAZ;6.441811769;-75.72710929;ANTIOQUIA;SAN JER”NIMO;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.6882;0.6694;0.6939;0.6871;0.7126;0.6577
105658000000;I. E. FRANCISCO ABEL GALLEGO;6.848979643;-75.68644834;ANTIOQUIA;SAN JOS… DE LA MONTA—A;Urbano;Estrato 2;OFICIAL;A;MIXTO;C;0.6383;0.6215;0.6389;0.6237;0.6699;0.636
105660000000;I. E. SAN LUIS;6.042838164;-74.99056154;ANTIOQUIA;SAN LUIS;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.7117;0.7143;0.7063;0.6997;0.7392;0.6742
105664000000;I. E. PIO XII;6.455110423;-75.55639214;ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.6721;0.6711;0.6716;0.6486;0.7068;0.6425
105664000000;I.E. PADRE ROBERTO ARROYAVE VELEZ;6.460283348;-75.55793663;ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.6851;0.6809;0.6874;0.6694;0.7104;0.6623
105665000000;I. E. CAMILO TORRES;8.280056867;-76.38072645;ANTIOQUIA;SAN PEDRO DE URAB¡;Urbano;Estrato 1;OFICIAL;A;MIXTO;B;0.7009;0.7041;0.7018;0.7027;0.7111;0.652
105665000000;I. E. SAN PEDRO DE URABA;8.279129452;-76.37913933;ANTIOQUIA;SAN PEDRO DE URAB¡;Urbano;Estrato 1;OFICIAL;A;MIXTO;C;0.6362;0.6321;0.6333;0.6246;0.6654;0.6043
105667000000;I. E. SAN RAFAEL;6.296395427;-75.02157041;ANTIOQUIA;SAN RAFAEL;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.6953;0.6988;0.6897;0.6738;0.716;0.7039
105670000000;I. E. PRESBITERO ABRAHAN JARAMILLO;6.486290689;-75.01947164;ANTIOQUIA;SAN ROQUE;Urbano;Estrato 2;OFICIAL;A;MIXTO;C;0.6595;0.6652;0.6592;0.6339;0.6904;0.6272
105670000000;I. E. NORMAL SUPERIOR DE SAN ROQUE;6.485939559;-75.01905531;ANTIOQUIA;SAN ROQUE;Urbano;Estrato 2;OFICIAL;A;MIXTO;C;0.6531;0.6418;0.6393;0.6445;0.6925;0.6362
105674000000;I. E. SAN VICENTE FERRER;6.27942251;-75.3322053;ANTIOQUIA;SAN VICENTE FERRER;Urbano;Estrato 2;OFICIAL;A;MIXTO;A;0.7391;0.7529;0.7373;0.7226;0.7522;0.713
105679000000;I. E. TOMAS EASTMAN;5.872222;-75.564167;ANTIOQUIA;SANTA B¡RBARA;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.6961;0.7019;0.6938;0.6768;0.723;0.6625
105679000000;I. E. JESUS MARIA ROJAS  PAGOLA;5.874303457;-75.56651613;ANTIOQUIA;SANTA B¡RBARA;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.6945;0.6938;0.6799;0.6883;0.7279;0.6582
105686000000;I.E. MARCO TOB”N MEJÕA;6.645914047;-75.46250634;ANTIOQUIA;SANTA ROSA DE OSOS;Urbano;Estrato 2;OFICIAL;A;MIXTO;C;0.6689;0.6681;0.664;0.6601;0.6964;0.6299
105686000000;I. E. ESCUELA NORMAL SUPERIOR PEDRO JUSTO BERRIO;6.649327576;-75.46008235;ANTIOQUIA;SANTA ROSA DE OSOS;Urbano;Estrato 2;OFICIAL;A;MIXTO;A;0.7603;0.7573;0.7583;0.7672;0.7647;0.741
105686000000;I. E. CARDENAL ANIBAL MU—OZ DUQUE;6.645959169;-75.46522487;ANTIOQUIA;SANTA ROSA DE OSOS;Urbano;Estrato 2;OFICIAL;A;MIXTO;D;0.5828;0.5555;0.5775;0.576;0.632;0.5536
105690000000;I. E. TECNICO INDUSTRIAL TOMAS CARRASQUILLA;6.474373588;-75.1650634;ANTIOQUIA;SANTO DOMINGO;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.7069;0.7081;0.7075;0.6908;0.7356;0.6642
105697000000;I. E. PBRO. LUIS RODOLFO GOMEZ;6.135716347;-75.27584744;ANTIOQUIA;EL SANTUARIO;Urbano;Estrato 2;OFICIAL;A;MIXTO;B;0.7115;0.7079;0.6928;0.7021;0.7436;0.7105
105736000000;I. E.  SANTO DOMINGO SAVIO;7.080851886;-74.69831048;ANTIOQUIA;SEGOVIA;Urbano;Estrato 1;OFICIAL;A;MIXTO;C;0.6311;0.6254;0.6116;0.6196;0.6753;0.6082
105756000000;I. E. BRAULIO MEJIA;5.715185329;-75.30812577;ANTIOQUIA;SONS”N;Urbano;Estrato 1;OFICIAL;A;MIXTO;C;0.6637;0.662;0.6563;0.6543;0.6876;0.6481
