Cod_Col;Nombre;Latitud;Longitud;Departamento;Municipio;Sector;Estrato;Naturaleza;Calendario;Genero;Categoria;Total;Matematica;Ciencias_Naturales;Ciencias_Sociales;Lectura_critica;Ingles;Cluster
205051001401;I. E. R. EL FILO DE DAMAQUIEL;8.769974;-76.526983;ANTIOQUIA;SAN JUAN DE URAB¡;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5566;0.5251;0.549;0.5465;0.6052;0.5583;2
205051001959;I. E. R. LA CANDELARIA;8.658056;-76.453056;ANTIOQUIA;ARBOLETES;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6277;0.6215;0.6399;0.6115;0.644;0.6092;2
205051002696;I. E. R. SANTA FE DE LAS PLATAS;8.814974;-76.453928;ANTIOQUIA;ARBOLETES;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5837;0.5818;0.5902;0.5655;0.6039;0.564;2
205051002700;I. E. R. GUADUAL ARRIBA;8.486667;-76.384722;ANTIOQUIA;ARBOLETES;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5885;0.5487;0.6079;0.5828;0.6198;0.5724;2
205055000281;I. E. R. PRESBITERO MARIO ANGEL;5.699444;-75.119722;ANTIOQUIA;ARGELIA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5734;0.581;0.5474;0.5528;0.6282;0.5259;6
205079000206;I. E. R. YARUMITO;6.472883159;-75.27342801;ANTIOQUIA;BARBOSA;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6429;0.6325;0.6435;0.6292;0.6788;0.6059;1
205079000346;I. E. EL TABLAZO;6.418333;-75.410278;ANTIOQUIA;BARBOSA;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6647;0.6571;0.6665;0.6504;0.7115;0.5852;0
205079000729;I. E. R. BUGA;6.450278;-75.335833;ANTIOQUIA;BARBOSA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5696;0.5428;0.5661;0.5546;0.6261;0.5366;6
205079000885;I. E. R. EL  HATILLO;6.413038525;-75.39326243;ANTIOQUIA;BARBOSA;Rural;Estrato 2;OFICIAL;A;MIXTO;D;0.6144;0.6008;0.6101;0.5934;0.6538;0.613;0
205086000033;I. E. R.  LABORES;6.71162617;-75.61248517;ANTIOQUIA;BELMIRA;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6377;0.6354;0.6355;0.6152;0.6764;0.6021;0
205086000092;I. E. R. CARLOS GONZALEZ;6.520556;-75.603611;ANTIOQUIA;BELMIRA;Rural;Estrato 1;OFICIAL;A;MIXTO;B;0.6884;0.6985;0.7019;0.668;0.6963;0.6557;2
205088000120;I.E. SAN GABRIEL ARC¡NGEL;6.34695555;-75.5251119;ANTIOQUIA;BELLO;Urbano;Estrato 2;OFICIAL;A;MIXTO;C;0.6483;0.6231;0.6548;0.6289;0.6945;0.6244;0
205088000197;I.E. LA PRIMAVERA;6.345395289;-75.57349529;ANTIOQUIA;BELLO;Urbano;Estrato 1;OFICIAL;A;MIXTO;C;0.6547;0.6357;0.6565;0.6385;0.6886;0.6535;2
205088001487;IE SAN FELIX;6.340205802;-75.60832451;ANTIOQUIA;BELLO;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6558;0.6431;0.6505;0.6423;0.6994;0.6191;0
205093000260;I E FRANCISCO CESAR;6.220089599;-75.95019324;ANTIOQUIA;BETULIA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5369;0.4875;0.5285;0.547;0.5929;0.5119;2
205093000413;I. E. R. LA SUCRE;6.147778;-75.941667;ANTIOQUIA;BETULIA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5353;0.5112;0.5324;0.5178;0.5879;0.5116;6
205101000304;I. E. R. JUAN TAMAYO;5.898403659;-75.97145363;ANTIOQUIA;CIUDAD BOLÕVAR;Rural;Estrato 1;OFICIAL;A;MIXTO;A;0.7201;0.7117;0.7331;0.7053;0.7451;0.6753;2
205101000355;I. E. R. FARALLONES;5.801987755;-76.02904271;ANTIOQUIA;CIUDAD BOLÕVAR;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6468;0.6121;0.6481;0.646;0.6976;0.597;0
205113000407;I. E. R. ADOLFO MORENO USUGA;6.806111;-75.914167;ANTIOQUIA;BURITIC¡;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6294;0.6067;0.6412;0.6323;0.6624;0.5548;2
205120000081;I. E. GUARUMO;7.857515851;-75.20831673;ANTIOQUIA;C¡CERES;Rural;Estrato 1;OFICIAL;A;MIXTO;B;0.6838;0.682;0.7114;0.6663;0.6931;0.6315;2
205120000366;I. E. AURELIO MEJIA;7.576111;-75.35;ANTIOQUIA;C¡CERES;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.6194;0.6059;0.6316;0.6031;0.6432;0.6002;2
205120000391;I. E. PIAMONTE;7.780278;-75.206944;ANTIOQUIA;C¡CERES;Rural;Estrato 1;OFICIAL;A;MIXTO;B;0.6996;0.6885;0.7049;0.7236;0.7052;0.6279;2
205120001435;I. E. GASPAR DE RODAS;7.7525;-75.252778;ANTIOQUIA;C¡CERES;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6296;0.6267;0.632;0.6105;0.6547;0.6134;2
205129000121;I. E. R. DARIO GUTIERREZ RAVE;6.049377508;-75.61915957;ANTIOQUIA;CALDAS;Rural;Estrato 2;OFICIAL;A;MIXTO;D;0.6105;0.5891;0.6207;0.5889;0.6485;0.5951;0
205129000130;I. E.  SALINAS;6.08789058;-75.64419518;ANTIOQUIA;CALDAS;Rural;Estrato 2;OFICIAL;A;MIXTO;D;0.615;0.5883;0.6087;0.6073;0.6566;0.6128;0
205138000088;I. E. R. SAN PASCUAL;6.871252126;-76.03445391;ANTIOQUIA;CA—ASGORDAS;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6453;0.6334;0.6365;0.646;0.6937;0.5604;5
205138000142;I. E. R. BUENOS AIRES;6.729162612;-76.01037273;ANTIOQUIA;CA—ASGORDAS;Rural;Estrato 1;OFICIAL;A;MIXTO;B;0.6772;0.6999;0.6628;0.6659;0.7133;0.5786;2
205138000622;I. E. R. JUNTAS DE URAMITA;6.924756152;-76.03125986;ANTIOQUIA;CA—ASGORDAS;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5993;0.5685;0.6162;0.5993;0.6306;0.5472;2
205138000649;I. E. R. BERNARDO SIERRA;6.820046125;-76.08242385;ANTIOQUIA;CA—ASGORDAS;Rural;Estrato 1;OFICIAL;A;MIXTO;B;0.6716;0.661;0.67;0.673;0.7071;0.5971;2
205145000140;I. E. R. ALEGRIAS;5.550292506;-75.61012183;ANTIOQUIA;CARAMANTA;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.649;0.6187;0.6646;0.6531;0.6777;0.5948;2
205147000112;I. E. R. VILLA NELLY;7.759167;-76.691667;ANTIOQUIA;CAREPA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.6143;0.5867;0.6145;0.6056;0.6539;0.6034;2
205147000147;I. E. R. LA CADENA;7.761111;-76.6425;ANTIOQUIA;CAREPA;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6241;0.6096;0.5909;0.6222;0.6785;0.6099;2
205147000309;I. E. R. INDIGENISTA POLINES;7.706667;-76.551944;ANTIOQUIA;CHIGOROD”;Rural;Estrato 3;OFICIAL;A;MIXTO;D;0.4763;0.4419;0.4951;0.4603;0.5002;0.4995;2
205147000350;I. E. R. PIEDRAS BLANCAS;7.746314063;-76.55601462;ANTIOQUIA;CAREPA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5931;0.5612;0.5826;0.585;0.6422;0.5976;2
205147000457;I.E.R. EL CERRO;7.785;-76.495833;ANTIOQUIA;CAREPA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5611;0.5503;0.5544;0.5367;0.6018;0.5647;2
205147000996;I.E.R. LA PROVINCIA;7.800833;-76.526389;ANTIOQUIA;CAREPA;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6262;0.5875;0.6416;0.6195;0.6621;0.6094;2
205148000469;I. E.R. LA AURORA;6.084244964;-75.32564441;ANTIOQUIA;EL CARMEN DE VIBORAL;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.7124;0.7271;0.7199;0.6857;0.737;0.6529;0
205148000582;I. E. SANTA MARIA;6.068889;-75.378889;ANTIOQUIA;EL CARMEN DE VIBORAL;Rural;Estrato 2;OFICIAL;A;MIXTO;B;0.7089;0.7013;0.6888;0.7058;0.7449;0.693;0
205154000225;I. E. R. CACERI;7.80650246;-74.92715274;ANTIOQUIA;CAUCASIA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.6173;0.5869;0.6422;0.5926;0.6655;0.5632;2
205154000896;I. E. MARGENTO;8.040390531;-74.95140178;ANTIOQUIA;CAUCASIA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5983;0.5918;0.6078;0.5896;0.6115;0.5764;2
205154001922;I. E. R. VILLA FATIMA ARRIBA;7.702248908;-74.99106019;ANTIOQUIA;CAUCASIA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.448;0.4222;0.4909;0.4104;0.461;0.4701;6
205154002015;I. E. LICEO CONCEJO MUNICIPAL;7.9875;-75.196944;ANTIOQUIA;CAUCASIA;Urbano;Estrato 1;OFICIAL;A;MIXTO;B;0.7093;0.7328;0.7038;0.6707;0.7414;0.6753;5
205172000062;I. E. AGRICOLA DE URABA;7.652778;-76.656389;ANTIOQUIA;CHIGOROD”;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6202;0.6071;0.6184;0.6051;0.6577;0.598;0
205172000101;I. E. R.  BARRANQUILLITA;7.563333;-76.696667;ANTIOQUIA;CHIGOROD”;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6266;0.6262;0.6319;0.6052;0.6535;0.5956;2
205172000267;I. E. R. NEL UPEGUI;7.697222;-76.737778;ANTIOQUIA;CHIGOROD”;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5992;0.5879;0.5929;0.5828;0.6344;0.5952;6
205172001484;I. E. R. CELESTINO DIAZ;7.501944;-76.5925;ANTIOQUIA;CHIGOROD”;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6206;0.6039;0.6134;0.6172;0.6606;0.5822;6
205197000059;I. E. EVA TULIA QUINTERO DE TORO;6.009799946;-75.14352222;ANTIOQUIA;COCORN¡;Rural;Estrato 1;OFICIAL;A;MIXTO;C;0.6419;0.6551;0.6383;0.6046;0.6742;0.6277;2
205197000849;I. E. SAN FRANCISCO;5.96252948;-75.10239623;ANTIOQUIA;SAN FRANCISCO;Urbano;Estrato 2;OFICIAL;A;MIXTO;A;0.7395;0.7584;0.7389;0.7303;0.7441;0.6985;0
205209000335;C. E. R. LA COMIA;6.071111;-75.972778;ANTIOQUIA;CONCORDIA;Rural;Estrato 2;OFICIAL;A;MIXTO;D;0.5626;0.5289;0.5649;0.5487;0.6148;0.5417;0
205212000061;I. E. R. GRANJAS INFANTILES;6.355;-75.509722;ANTIOQUIA;COPACABANA;Rural;Estrato 2;OFICIAL;A;MIXTO;C;0.6641;0.6454;0.6601;0.6594;0.6958;0.6503;0
205234000366;I. E. R. URAMA;7.018889556;-76.14407139;ANTIOQUIA;DABEIBA;Rural;Estrato 1;OFICIAL;A;MIXTO;D;0.5881;0.5719;0.5842;0.5767;0.6292;0.5592;2
